Region,Confirmed,Recovered,Deceased
Afghanistan,35156.0,22824.0,1117.0
Albania,3851.0,2137.0,104.0
Algeria,21355.0,15107.0,1052.0
Andorra,877.0,803.0,52.0
Angola,607.0,124.0,28.0
Antigua and Barbuda,74.0,57.0,3.0
Argentina,114783.0,49120.0,2112.0
Armenia,33559.0,21931.0,607.0
Australia,11233.0,8114.0,116.0
Austria,19270.0,17244.0,711.0
Azerbaijan,26165.0,17256.0,334.0
Bahamas,124.0,91.0,11.0
Bahrain,35084.0,30809.0,121.0
Bangladesh,196323.0,106963.0,2496.0
Barbados,104.0,90.0,7.0
Belarus,65623.0,56915.0,485.0
Belgium,63238.0,17253.0,9795.0
Belize,40.0,22.0,2.0
Benin,1463.0,557.0,28.0
Bhutan,86.0,78.0,0.0
Bolivia,54156.0,16979.0,1984.0
Bosnia and Herzegovina,7681.0,3534.0,240.0
Botswana,522.0,48.0,1.0
Brazil,2012151.0,1397531.0,76688.0
Brunei,141.0,138.0,3.0
Bulgaria,8144.0,3927.0,293.0
Burkina Faso,1038.0,882.0,53.0
Burma,339.0,270.0,6.0
Burundi,303.0,207.0,1.0
Cabo Verde,1894.0,902.0,19.0
Cambodia,171.0,133.0,0.0
Cameroon,16157.0,13728.0,373.0
Canada,111160.0,74433.0,8926.0
Central African Republic,4373.0,1265.0,53.0
Chad,886.0,799.0,75.0
Chile,323698.0,295301.0,7290.0
China,85327.0,80038.0,4644.0
Colombia,173206.0,71736.0,6029.0
Comoros,328.0,311.0,7.0
Congo (Brazzaville),2358.0,589.0,48.0
Congo (Kinshasa),8199.0,4248.0,193.0
Costa Rica,9546.0,2673.0,42.0
Cote d'Ivoire,13554.0,7363.0,87.0
Croatia,4039.0,2729.0,120.0
Cuba,2440.0,2285.0,87.0
Cyprus,1023.0,845.0,19.0
Czech Republic,13612.0,8640.0,355.0
Denmark,13325.0,12396.0,610.0
Diamond Princess,712.0,651.0,13.0
Djibouti,4993.0,4796.0,56.0
Dominica,18.0,18.0,0.0
Dominican Republic,48743.0,23636.0,941.0
Ecuador,71365.0,31260.0,5207.0
Egypt,85771.0,26691.0,4120.0
El Salvador,10957.0,6257.0,298.0
Equatorial Guinea,3071.0,842.0,51.0
Eritrea,251.0,149.0,0.0
Estonia,2016.0,1904.0,69.0
Eswatini,1552.0,736.0,21.0
Ethiopia,8475.0,2430.0,148.0
Fiji,26.0,18.0,0.0
Finland,7293.0,6880.0,328.0
France,213183.0,79161.0,30142.0
Gabon,6121.0,3664.0,46.0
Gambia,78.0,34.0,3.0
Georgia,1006.0,883.0,15.0
Germany,201450.0,186400.0,9087.0
Ghana,26125.0,22270.0,139.0
Greece,3939.0,1374.0,193.0
Grenada,23.0,23.0,0.0
Guatemala,32939.0,4807.0,1404.0
Guinea,6359.0,5012.0,39.0
Guinea-Bissau,1902.0,773.0,26.0
Guyana,315.0,156.0,19.0
Haiti,6831.0,3606.0,143.0
Vatican City,12.0,12.0,0.0
Honduras,30867.0,3420.0,835.0
Hungary,4279.0,3156.0,595.0
