Region,Confirmed,Recovered/Migrated,Deceased
Afghanistan,1828.0,228.0,58.0
Albania,750.0,431.0,30.0
Algeria,3649.0,1651.0,437.0
Andorra,743.0,398.0,41.0
Angola,27.0,6.0,2.0
Antigua and Barbuda,24.0,11.0,3.0
Argentina,4127.0,1162.0,207.0
Armenia,1867.0,866.0,30.0
Australia,6744.0,5665.0,89.0
Austria,15357.0,12580.0,569.0
Azerbaijan,1717.0,1221.0,22.0
Bahamas,80.0,23.0,11.0
Bahrain,2811.0,1310.0,8.0
Bangladesh,6462.0,139.0,155.0
Barbados,80.0,39.0,6.0
Belarus,12208.0,1993.0,79.0
Belgium,47334.0,10943.0,7331.0
Belize,18.0,9.0,2.0
Benin,64.0,33.0,1.0
Bhutan,7.0,5.0,0.0
Bolivia,1053.0,110.0,55.0
Bosnia and Herzegovina,1585.0,682.0,63.0
Botswana,23.0,0.0,1.0
Brazil,73235.0,32544.0,5083.0
Brunei,138.0,124.0,1.0
Bulgaria,1399.0,222.0,58.0
Burkina Faso,638.0,476.0,42.0
Burma,150.0,16.0,5.0
Burundi,11.0,4.0,1.0
Cabo Verde,114.0,2.0,1.0
Cambodia,122.0,119.0,0.0
Cameroon,1705.0,915.0,58.0
Canada,51150.0,19231.0,2983.0
Central African Republic,50.0,10.0,0.0
Chad,52.0,19.0,2.0
Chile,14365.0,7710.0,207.0
China,83940.0,78422.0,4637.0
Colombia,5949.0,1268.0,269.0
Congo (Brazzaville),207.0,19.0,8.0
Congo (Kinshasa),471.0,56.0,30.0
Costa Rica,705.0,306.0,6.0
Cote d'Ivoire,1183.0,525.0,14.0
Croatia,2047.0,1232.0,63.0
Cuba,1437.0,575.0,58.0
Cyprus,837.0,148.0,15.0
Czech Republic,7504.0,2948.0,227.0
Denmark,9049.0,6313.0,434.0
Diamond Princess,712.0,645.0,13.0
Djibouti,1072.0,498.0,2.0
Dominica,16.0,13.0,0.0
Dominican Republic,6416.0,1165.0,286.0
Ecuador,24258.0,1557.0,871.0
Egypt,5042.0,1304.0,359.0
El Salvador,345.0,97.0,8.0
Equatorial Guinea,315.0,9.0,1.0
Eritrea,39.0,19.0,0.0
Estonia,1660.0,240.0,50.0
Eswatini,71.0,10.0,1.0
Ethiopia,126.0,50.0,3.0
Fiji,18.0,12.0,0.0
Finland,4740.0,2800.0,199.0
France,169053.0,46886.0,23663.0
Gabon,238.0,53.0,3.0
Gambia,10.0,8.0,1.0
Georgia,511.0,168.0,6.0
Germany,159912.0,117400.0,6314.0
Ghana,1671.0,188.0,16.0
Greece,2566.0,577.0,138.0
Grenada,19.0,10.0,0.0
Guatemala,530.0,49.0,15.0
Guinea,1240.0,269.0,7.0
Guinea-Bissau,73.0,18.0,1.0
Guyana,74.0,15.0,8.0
Haiti,76.0,8.0,6.0
Vatican City,10.0,2.0,0.0
